sample,site,habitat,length,width,height,surf.area,lat,long
CC01,coral key,reef,42.62,36.62,28.44,11620.66602,9.26,-82.12366667
CC02,coral key,reef,36.4,31.39,21.44,6413.382207,9.260027778,-82.12366667
CC03,coral key,reef,33.3,28.1,21.53,5274.292674,9.093277778,-82.12366667
CC04,coral key,reef,32.92,29.65,16.42,4195.921159,9.259944444,-82.12363889
CC05,coral key,reef,44.43,30.08,13.15,4600.971469,9.252111111,-82.12991667
CC06,coral key,reef,49.95,45.97,31.43,18894.00472,9.252527778,-82.12994444
CC08,coral key,reef,42.87,38.05,17.92,7652.719447,9.25225,-82.12991667
CC09,coral key,reef,35.95,32.98,16.49,5118.466249,9.260027778,-82.12358333
CC10,coral key,reef,51.08,44.39,27.78,16490.65543,9.259527778,-82.12366667
CC13,coral key,reef,45.9,36.32,19.62,8563.024185,9.252833333,-82.12986111
CK03,coral key,mangrove,27.98,27.72,16.4,3330.078156,9.273306,-82.131278
CK08,coral key,mangrove,20.05,15.06,4.97,392.8849381,9.273306,-82.131278
CK09,coral key,mangrove,22.9,17.05,12.11,1237.866047,9.273306,-82.131278
CK10,coral key,mangrove,26.48,18.25,19.6,2479.742373,9.273306,-82.131278
CK14,coral key,mangrove,20,16.69,13.29,1161.397684,9.273306,-82.131278
CK15,coral key,mangrove,14.56,12.01,9.7,444.0641966,9.273306,-82.131278
CK16,coral key,mangrove,11.78,10.35,6.8,217.0522015,9.273306,-82.131278
CK17,coral key,mangrove,20.12,18.05,8.25,784.3840851,9.273306,-82.131278
CK18,coral key,mangrove,22.91,19.52,11.42,1337.02845,9.273306,-82.131278
SM03,STRI,mangrove,21.65,16.48,12.16,1135.84305,9.34978,-82.2615
SM05,STRI,mangrove,30.01,29.47,14.68,3398.926937,9.34978,-82.2615
SM06,STRI,mangrove,34.39,28.22,21.26,5401.595859,9.34978,-82.2615
SM07,STRI,mangrove,34.65,32.78,19.78,5283.142773,9.34978,-82.2615
SM08,STRI,mangrove,37.68,34.41,21.5,7297.996805,9.34978,-82.2615
SM09,STRI,mangrove,34.39,28.22,21.26,5401.595859,9.34978,-82.2615
SM10,STRI,mangrove,29.75,28.32,20,4411.43472,9.34978,-82.2615
SM12,STRI,mangrove,34.65,32.78,19.87,5908.533436,9.34978,-82.2615
SM13,STRI,mangrove,37.68,34.41,21.5,7297.996805,9.34978,-82.2615
SM14,STRI,mangrove,24.81,20.05,10.1,1315.322221,9.34978,-82.2615
SP02,STRI,reef,21.22,20.05,9.4,1047.025484,9.21002,-82.15809
SP04,STRI,reef,34.5,23.15,9.51,1988.475524,9.21002,-82.15809
SP05,STRI,reef,24.5,20.26,14.49,1882.97066,9.21002,-82.15809
SP06,STRI,reef,23.2,20.97,14.57,1855.733507,9.21002,-82.15809
SP15,STRI,reef,30.6,33.3,15.34,4092.235908,9.21132,-82.1596
SP17,STRI,reef,40.82,38.99,21.5,8958.480191,9.21132,-82.1596
SP18,STRI,reef,37.91,37.75,19.79,7414.573537,9.21132,-82.1596
SP19,STRI,reef,43.05,36.45,25.75,10578.34103,9.21132,-82.1596
SP20,STRI,reef,39.4,31.2,15.12,4866.00162,9.21132,-82.1596
